Source_Query,Target_Query,Status,Path_Length,Source_Node,Target_Node,Path,Detailed_Path
anorexia nervosa,Hypotropia,Path found,5,anorexia nervosa,hypotropia,anorexia nervosa → Medroxyprogesterone acetate → Diplopia → Brown syndrome → strabismus → hypotropia,"
  • anorexia nervosa [disease] --contraindication--> Medroxyprogesterone acetate [drug]
  • Medroxyprogesterone acetate [drug] --side effect--> Diplopia [effect/phenotype]
  • Diplopia [effect/phenotype] --phenotype present--> Brown syndrome [disease]
  • Brown syndrome [disease] --parent-child--> strabismus [disease]
  • strabismus [disease] --parent-child--> hypotropia [disease]"
anorexia nervosa,major depressive disorder,Path found,2,anorexia nervosa,major depressive disorder,anorexia nervosa → Fluoxetine → major depressive disorder,"
  • anorexia nervosa [disease] --contraindication--> Fluoxetine [drug]
  • Fluoxetine [drug] --indication--> major depressive disorder [disease]"
anorexia nervosa,Mania,Path found,2,anorexia nervosa,Mania,anorexia nervosa → Bupropion → Mania,"
  • anorexia nervosa [disease] --contraindication--> Bupropion [drug]
  • Bupropion [drug] --side effect--> Mania [effect/phenotype]"
anorexia nervosa,manic bipolar affective disorder,Path found,2,anorexia nervosa,manic bipolar affective disorder,anorexia nervosa → Bupropion → manic bipolar affective disorder,"
  • anorexia nervosa [disease] --contraindication--> Bupropion [drug]
  • Bupropion [drug] --contraindication--> manic bipolar affective disorder [disease]"
anorexia nervosa,Panic attack,Path found,3,anorexia nervosa,Panic attack,anorexia nervosa → Rivastigmine → Parkinson disease → Panic attack,"
  • anorexia nervosa [disease] --contraindication--> Rivastigmine [drug]
  • Rivastigmine [drug] --contraindication--> Parkinson disease [disease]
  • Parkinson disease [disease] --phenotype present--> Panic attack [effect/phenotype]"
anorexia nervosa,Panic disorder,Path found,3,anorexia nervosa,Panic attack,anorexia nervosa → Rivastigmine → Parkinson disease → Panic attack,"
  • anorexia nervosa [disease] --contraindication--> Rivastigmine [drug]
  • Rivastigmine [drug] --contraindication--> Parkinson disease [disease]
  • Parkinson disease [disease] --phenotype present--> Panic attack [effect/phenotype]"
anorexia nervosa,Posttraumatic stress symptom,Path found,3,anorexia nervosa,Posttraumatic stress symptom,anorexia nervosa → Methylphenidate → Behavioral abnormality → Posttraumatic stress symptom,"
  • anorexia nervosa [disease] --contraindication--> Methylphenidate [drug]
  • Methylphenidate [drug] --side effect--> Behavioral abnormality [effect/phenotype]
  • Behavioral abnormality [effect/phenotype] --parent-child--> Posttraumatic stress symptom [effect/phenotype]"
Behavioral abnormality,Bipolar affective disorder,Path found,2,Behavioral abnormality,Bipolar affective disorder,Behavioral abnormality → Impairment in personality functioning → Bipolar affective disorder,"
  • Behavioral abnormality [effect/phenotype] --parent-child--> Impairment in personality functioning [effect/phenotype]
  • Impairment in personality functioning [effect/phenotype] --parent-child--> Bipolar affective disorder [effect/phenotype]"
Behavioral abnormality,bipolar disorder,Path found,2,Behavioral abnormality,bipolar disorder,Behavioral abnormality → Valproic acid → bipolar disorder,"
  • Behavioral abnormality [effect/phenotype] --side effect--> Valproic acid [drug]
  • Valproic acid [drug] --off-label use--> bipolar disorder [disease]"
Behavioral abnormality,Death in adolescence,Path found,3,Behavioral abnormality,Death in adolescence,"Behavioral abnormality → Perseveration → mitochondrial complex 4 deficiency, nuclear → Death in adolescence","
  • Behavioral abnormality [effect/phenotype] --parent-child--> Perseveration [effect/phenotype]
  • Perseveration [effect/phenotype] --phenotype present--> mitochondrial complex 4 deficiency, nuclear [disease]
  • mitochondrial complex 4 deficiency, nuclear [disease] --phenotype present--> Death in adolescence [effect/phenotype]"
Behavioral abnormality,drugalcohol-induced mental disorder,Path found,3,Behavioral abnormality,drug/alcohol-induced mental disorder,Behavioral abnormality → Atomoxetine → mental disorder → drug/alcohol-induced mental disorder,"
  • Behavioral abnormality [effect/phenotype] --side effect--> Atomoxetine [drug]
  • Atomoxetine [drug] --contraindication--> mental disorder [disease]
  • mental disorder [disease] --parent-child--> drug/alcohol-induced mental disorder [disease]"
Behavioral abnormality,eating behavior,Path found,3,Behavioral abnormality,eating behavior,Behavioral abnormality → schizophrenia → ADORA2A → eating behavior,"
  • Behavioral abnormality [effect/phenotype] --phenotype present--> schizophrenia [disease]
  • schizophrenia [disease] --associated with--> ADORA2A [gene/protein]
  • ADORA2A [gene/protein] --interacts with--> eating behavior [biological_process]"
Behavioral abnormality,Hypotropia,Path found,4,Behavioral abnormality,hypotropia,Behavioral abnormality → Riley-Day syndrome → neuro-ophthalmological disease → strabismus → hypotropia,"
  • Behavioral abnormality [effect/phenotype] --phenotype present--> Riley-Day syndrome [disease]
  • Riley-Day syndrome [disease] --parent-child--> neuro-ophthalmological disease [disease]
  • neuro-ophthalmological disease [disease] --parent-child--> strabismus [disease]
  • strabismus [disease] --parent-child--> hypotropia [disease]"
Behavioral abnormality,major depressive disorder,Path found,2,Behavioral abnormality,major depressive disorder,Behavioral abnormality → Venlafaxine → major depressive disorder,"
  • Behavioral abnormality [effect/phenotype] --side effect--> Venlafaxine [drug]
  • Venlafaxine [drug] --indication--> major depressive disorder [disease]"
Behavioral abnormality,Mania,Path found,1,Behavioral abnormality,Mania,Behavioral abnormality → Mania,"
  • Behavioral abnormality [effect/phenotype] --parent-child--> Mania [effect/phenotype]"
Behavioral abnormality,manic bipolar affective disorder,Path found,2,Behavioral abnormality,manic bipolar affective disorder,Behavioral abnormality → Valproic acid → manic bipolar affective disorder,"
  • Behavioral abnormality [effect/phenotype] --side effect--> Valproic acid [drug]
  • Valproic acid [drug] --indication--> manic bipolar affective disorder [disease]"
Behavioral abnormality,Panic attack,Path found,2,Behavioral abnormality,Panic attack,Behavioral abnormality → Psychogenic non-epileptic seizure → Panic attack,"
  • Behavioral abnormality [effect/phenotype] --parent-child--> Psychogenic non-epileptic seizure [effect/phenotype]
  • Psychogenic non-epileptic seizure [effect/phenotype] --parent-child--> Panic attack [effect/phenotype]"
Behavioral abnormality,Panic disorder,Path found,2,Behavioral abnormality,Panic attack,Behavioral abnormality → Psychogenic non-epileptic seizure → Panic attack,"
  • Behavioral abnormality [effect/phenotype] --parent-child--> Psychogenic non-epileptic seizure [effect/phenotype]
  • Psychogenic non-epileptic seizure [effect/phenotype] --parent-child--> Panic attack [effect/phenotype]"
Behavioral abnormality,Posttraumatic stress symptom,Path found,1,Behavioral abnormality,Posttraumatic stress symptom,Behavioral abnormality → Posttraumatic stress symptom,"
  • Behavioral abnormality [effect/phenotype] --parent-child--> Posttraumatic stress symptom [effect/phenotype]"
Bipolar affective disorder,bipolar disorder,Path found,2,Bipolar affective disorder,bipolar disorder,Bipolar affective disorder → Lamotrigine → bipolar disorder,"
  • Bipolar affective disorder [effect/phenotype] --side effect--> Lamotrigine [drug]
  • Lamotrigine [drug] --off-label use--> bipolar disorder [disease]"
Bipolar affective disorder,Death in adolescence,Path found,4,Bipolar affective disorder,Death in adolescence,Bipolar affective disorder → lithium transport → Autosomal dominant inheritance → proteasome-associated autoinflammatory syndrome → Death in adolescence,"
  • Bipolar affective disorder [effect/phenotype] --phenotype present--> lithium transport [disease]
  • lithium transport [disease] --phenotype present--> Autosomal dominant inheritance [effect/phenotype]
  • Autosomal dominant inheritance [effect/phenotype] --phenotype present--> proteasome-associated autoinflammatory syndrome [disease]
  • proteasome-associated autoinflammatory syndrome [disease] --phenotype present--> Death in adolescence [effect/phenotype]"
Bipolar affective disorder,drugalcohol-induced mental disorder,Path found,3,Bipolar affective disorder,drug/alcohol-induced mental disorder,Bipolar affective disorder → Bupropion → mental disorder → drug/alcohol-induced mental disorder,"
  • Bipolar affective disorder [effect/phenotype] --side effect--> Bupropion [drug]
  • Bupropion [drug] --contraindication--> mental disorder [disease]
  • mental disorder [disease] --parent-child--> drug/alcohol-induced mental disorder [disease]"
Bipolar affective disorder,eating behavior,Path found,3,Bipolar affective disorder,eating behavior,Bipolar affective disorder → Lamotrigine → ADORA2A → eating behavior,"
  • Bipolar affective disorder [effect/phenotype] --side effect--> Lamotrigine [drug]
  • Lamotrigine [drug] --target--> ADORA2A [gene/protein]
  • ADORA2A [gene/protein] --interacts with--> eating behavior [biological_process]"
Bipolar affective disorder,Hypotropia,Path found,5,Bipolar affective disorder,hypotropia,Bipolar affective disorder → lithium transport → Autosomal dominant inheritance → Brown syndrome → strabismus → hypotropia,"
  • Bipolar affective disorder [effect/phenotype] --phenotype present--> lithium transport [disease]
  • lithium transport [disease] --phenotype present--> Autosomal dominant inheritance [effect/phenotype]
  • Autosomal dominant inheritance [effect/phenotype] --phenotype present--> Brown syndrome [disease]
  • Brown syndrome [disease] --parent-child--> strabismus [disease]
  • strabismus [disease] --parent-child--> hypotropia [disease]"
Bipolar affective disorder,major depressive disorder,Path found,2,Bipolar affective disorder,major depressive disorder,Bipolar affective disorder → Paroxetine → major depressive disorder,"
  • Bipolar affective disorder [effect/phenotype] --side effect--> Paroxetine [drug]
  • Paroxetine [drug] --indication--> major depressive disorder [disease]"
Bipolar affective disorder,Mania,Path found,1,Bipolar affective disorder,Mania,Bipolar affective disorder → Mania,"
  • Bipolar affective disorder [effect/phenotype] --parent-child--> Mania [effect/phenotype]"
Bipolar affective disorder,manic bipolar affective disorder,Path found,2,Bipolar affective disorder,manic bipolar affective disorder,Bipolar affective disorder → Bupropion → manic bipolar affective disorder,"
  • Bipolar affective disorder [effect/phenotype] --side effect--> Bupropion [drug]
  • Bupropion [drug] --contraindication--> manic bipolar affective disorder [disease]"
Bipolar affective disorder,Panic attack,Path found,3,Bipolar affective disorder,Panic attack,Bipolar affective disorder → Impairment in personality functioning → Abnormal fear/anxiety-related behavior → Panic attack,"
  • Bipolar affective disorder [effect/phenotype] --parent-child--> Impairment in personality functioning [effect/phenotype]
  • Impairment in personality functioning [effect/phenotype] --parent-child--> Abnormal fear/anxiety-related behavior [effect/phenotype]
  • Abnormal fear/anxiety-related behavior [effect/phenotype] --parent-child--> Panic attack [effect/phenotype]"
Bipolar affective disorder,Panic disorder,Path found,3,Bipolar affective disorder,Panic attack,Bipolar affective disorder → Impairment in personality functioning → Abnormal fear/anxiety-related behavior → Panic attack,"
  • Bipolar affective disorder [effect/phenotype] --parent-child--> Impairment in personality functioning [effect/phenotype]
  • Impairment in personality functioning [effect/phenotype] --parent-child--> Abnormal fear/anxiety-related behavior [effect/phenotype]
  • Abnormal fear/anxiety-related behavior [effect/phenotype] --parent-child--> Panic attack [effect/phenotype]"
Bipolar affective disorder,Posttraumatic stress symptom,Path found,3,Bipolar affective disorder,Posttraumatic stress symptom,Bipolar affective disorder → Impairment in personality functioning → Behavioral abnormality → Posttraumatic stress symptom,"
  • Bipolar affective disorder [effect/phenotype] --parent-child--> Impairment in personality functioning [effect/phenotype]
  • Impairment in personality functioning [effect/phenotype] --parent-child--> Behavioral abnormality [effect/phenotype]
  • Behavioral abnormality [effect/phenotype] --parent-child--> Posttraumatic stress symptom [effect/phenotype]"
bipolar disorder,Death in adolescence,Path found,4,bipolar disorder,Death in adolescence,bipolar disorder → Citalopram → Stillbirth → Age of death → Death in adolescence,"
  • bipolar disorder [disease] --contraindication--> Citalopram [drug]
  • Citalopram [drug] --side effect--> Stillbirth [effect/phenotype]
  • Stillbirth [effect/phenotype] --parent-child--> Age of death [effect/phenotype]
  • Age of death [effect/phenotype] --parent-child--> Death in adolescence [effect/phenotype]"
bipolar disorder,drugalcohol-induced mental disorder,Path found,3,bipolar disorder,drug/alcohol-induced mental disorder,bipolar disorder → ANK3 → alcohol-related birth defect → drug/alcohol-induced mental disorder,"
  • bipolar disorder [disease] --associated with--> ANK3 [gene/protein]
  • ANK3 [gene/protein] --associated with--> alcohol-related birth defect [disease]
  • alcohol-related birth defect [disease] --parent-child--> drug/alcohol-induced mental disorder [disease]"
bipolar disorder,eating behavior,Path found,2,bipolar disorder,eating behavior,bipolar disorder → TH → eating behavior,"
  • bipolar disorder [disease] --associated with--> TH [gene/protein]
  • TH [gene/protein] --interacts with--> eating behavior [biological_process]"
bipolar disorder,Hypotropia,Path found,5,bipolar disorder,hypotropia,bipolar disorder → BCHE → Echothiophate → esotropia → strabismus → hypotropia,"
  • bipolar disorder [disease] --associated with--> BCHE [gene/protein]
  • BCHE [gene/protein] --target--> Echothiophate [drug]
  • Echothiophate [drug] --indication--> esotropia [disease]
  • esotropia [disease] --parent-child--> strabismus [disease]
  • strabismus [disease] --parent-child--> hypotropia [disease]"
bipolar disorder,major depressive disorder,Path found,2,bipolar disorder,major depressive disorder,bipolar disorder → Venlafaxine → major depressive disorder,"
  • bipolar disorder [disease] --contraindication--> Venlafaxine [drug]
  • Venlafaxine [drug] --indication--> major depressive disorder [disease]"
bipolar disorder,Mania,Path found,2,bipolar disorder,Mania,bipolar disorder → major affective disorder → Mania,"
  • bipolar disorder [disease] --parent-child--> major affective disorder [disease]
  • major affective disorder [disease] --phenotype present--> Mania [effect/phenotype]"
bipolar disorder,manic bipolar affective disorder,Path found,1,bipolar disorder,manic bipolar affective disorder,bipolar disorder → manic bipolar affective disorder,"
  • bipolar disorder [disease] --parent-child--> manic bipolar affective disorder [disease]"
bipolar disorder,Panic attack,Path found,3,bipolar disorder,Panic attack,bipolar disorder → ATP1A1 → adrenal cortex carcinoma → Panic attack,"
  • bipolar disorder [disease] --associated with--> ATP1A1 [gene/protein]
  • ATP1A1 [gene/protein] --associated with--> adrenal cortex carcinoma [disease]
  • adrenal cortex carcinoma [disease] --phenotype present--> Panic attack [effect/phenotype]"
bipolar disorder,Panic disorder,Path found,3,bipolar disorder,Panic attack,bipolar disorder → ATP1A1 → adrenal cortex carcinoma → Panic attack,"
  • bipolar disorder [disease] --associated with--> ATP1A1 [gene/protein]
  • ATP1A1 [gene/protein] --associated with--> adrenal cortex carcinoma [disease]
  • adrenal cortex carcinoma [disease] --phenotype present--> Panic attack [effect/phenotype]"
bipolar disorder,Posttraumatic stress symptom,Path found,3,bipolar disorder,Posttraumatic stress symptom,bipolar disorder → NR4A2 → Behavioral abnormality → Posttraumatic stress symptom,"
  • bipolar disorder [disease] --associated with--> NR4A2 [gene/protein]
  • NR4A2 [gene/protein] --associated with--> Behavioral abnormality [effect/phenotype]
  • Behavioral abnormality [effect/phenotype] --parent-child--> Posttraumatic stress symptom [effect/phenotype]"
Death in adolescence,drugalcohol-induced mental disorder,Path found,5,Death in adolescence,drug/alcohol-induced mental disorder,Death in adolescence → Age of death → Stillbirth → Methotrexate → substance abuse/dependence → drug/alcohol-induced mental disorder,"
  • Death in adolescence [effect/phenotype] --parent-child--> Age of death [effect/phenotype]
  • Age of death [effect/phenotype] --parent-child--> Stillbirth [effect/phenotype]
  • Stillbirth [effect/phenotype] --side effect--> Methotrexate [drug]
  • Methotrexate [drug] --contraindication--> substance abuse/dependence [disease]
  • substance abuse/dependence [disease] --parent-child--> drug/alcohol-induced mental disorder [disease]"
Death in adolescence,eating behavior,Path found,4,Death in adolescence,eating behavior,"Death in adolescence → mitochondrial complex 4 deficiency, nuclear → Seizure → ADORA2A → eating behavior","
  • Death in adolescence [effect/phenotype] --phenotype present--> mitochondrial complex 4 deficiency, nuclear [disease]
  • mitochondrial complex 4 deficiency, nuclear [disease] --phenotype present--> Seizure [effect/phenotype]
  • Seizure [effect/phenotype] --associated with--> ADORA2A [gene/protein]
  • ADORA2A [gene/protein] --interacts with--> eating behavior [biological_process]"
Death in adolescence,Hypotropia,Path found,5,Death in adolescence,hypotropia,Death in adolescence → deeah syndrome → Strabismus → paralytic strabismus → strabismus → hypotropia,"
  • Death in adolescence [effect/phenotype] --phenotype present--> deeah syndrome [disease]
  • deeah syndrome [disease] --phenotype present--> Strabismus [effect/phenotype]
  • Strabismus [effect/phenotype] --phenotype present--> paralytic strabismus [disease]
  • paralytic strabismus [disease] --parent-child--> strabismus [disease]
  • strabismus [disease] --parent-child--> hypotropia [disease]"
Death in adolescence,major depressive disorder,Path found,4,Death in adolescence,major depressive disorder,Death in adolescence → Age of death → Stillbirth → Citalopram → major depressive disorder,"
  • Death in adolescence [effect/phenotype] --parent-child--> Age of death [effect/phenotype]
  • Age of death [effect/phenotype] --parent-child--> Stillbirth [effect/phenotype]
  • Stillbirth [effect/phenotype] --side effect--> Citalopram [drug]
  • Citalopram [drug] --indication--> major depressive disorder [disease]"
Death in adolescence,Mania,Path found,4,Death in adolescence,Mania,"Death in adolescence → mitochondrial complex 4 deficiency, nuclear → Perseveration → Behavioral abnormality → Mania","
  • Death in adolescence [effect/phenotype] --phenotype present--> mitochondrial complex 4 deficiency, nuclear [disease]
  • mitochondrial complex 4 deficiency, nuclear [disease] --phenotype present--> Perseveration [effect/phenotype]
  • Perseveration [effect/phenotype] --parent-child--> Behavioral abnormality [effect/phenotype]
  • Behavioral abnormality [effect/phenotype] --parent-child--> Mania [effect/phenotype]"
Death in adolescence,manic bipolar affective disorder,Path found,4,Death in adolescence,manic bipolar affective disorder,Death in adolescence → proteasome-associated autoinflammatory syndrome → Arrhythmia → Valproic acid → manic bipolar affective disorder,"
  • Death in adolescence [effect/phenotype] --phenotype present--> proteasome-associated autoinflammatory syndrome [disease]
  • proteasome-associated autoinflammatory syndrome [disease] --phenotype present--> Arrhythmia [effect/phenotype]
  • Arrhythmia [effect/phenotype] --side effect--> Valproic acid [drug]
  • Valproic acid [drug] --indication--> manic bipolar affective disorder [disease]"
Death in adolescence,Panic attack,Path found,4,Death in adolescence,Panic attack,"Death in adolescence → proteasome-associated autoinflammatory syndrome → Intellectual disability, mild → Troyer syndrome → Panic attack","
  • Death in adolescence [effect/phenotype] --phenotype present--> proteasome-associated autoinflammatory syndrome [disease]
  • proteasome-associated autoinflammatory syndrome [disease] --phenotype present--> Intellectual disability, mild [effect/phenotype]
  • Intellectual disability, mild [effect/phenotype] --phenotype present--> Troyer syndrome [disease]
  • Troyer syndrome [disease] --phenotype present--> Panic attack [effect/phenotype]"
Death in adolescence,Panic disorder,Path found,4,Death in adolescence,Panic attack,"Death in adolescence → proteasome-associated autoinflammatory syndrome → Intellectual disability, mild → Troyer syndrome → Panic attack","
  • Death in adolescence [effect/phenotype] --phenotype present--> proteasome-associated autoinflammatory syndrome [disease]
  • proteasome-associated autoinflammatory syndrome [disease] --phenotype present--> Intellectual disability, mild [effect/phenotype]
  • Intellectual disability, mild [effect/phenotype] --phenotype present--> Troyer syndrome [disease]
  • Troyer syndrome [disease] --phenotype present--> Panic attack [effect/phenotype]"
Death in adolescence,Posttraumatic stress symptom,Path found,4,Death in adolescence,Posttraumatic stress symptom,"Death in adolescence → mitochondrial complex 4 deficiency, nuclear → Perseveration → Behavioral abnormality → Posttraumatic stress symptom","
  • Death in adolescence [effect/phenotype] --phenotype present--> mitochondrial complex 4 deficiency, nuclear [disease]
  • mitochondrial complex 4 deficiency, nuclear [disease] --phenotype present--> Perseveration [effect/phenotype]
  • Perseveration [effect/phenotype] --parent-child--> Behavioral abnormality [effect/phenotype]
  • Behavioral abnormality [effect/phenotype] --parent-child--> Posttraumatic stress symptom [effect/phenotype]"
drugalcohol-induced mental disorder,eating behavior,Path found,3,drug/alcohol-induced mental disorder,eating behavior,drug/alcohol-induced mental disorder → drug psychosis → ADORA2A → eating behavior,"
  • drug/alcohol-induced mental disorder [disease] --parent-child--> drug psychosis [disease]
  • drug psychosis [disease] --associated with--> ADORA2A [gene/protein]
  • ADORA2A [gene/protein] --interacts with--> eating behavior [biological_process]"
